"# GtoPdb Version: 2025.1 - published: 2025-04-01"
"Target","Target ID","Target Subunit IDs","Target Gene Symbol","Target UniProt ID","Target Ensembl Gene ID","Target Ligand","Target Ligand ID","Target Ligand Subunit IDs","Target Ligand Gene Symbol","Target Ligand UniProt ID","Target Ligand Ensembl Gene ID","Target Ligand PubChem SID","Target Species","Ligand ID","Ligand","Ligand Type","Ligand Subunit IDs","Ligand Gene Symbol","Ligand Species","Ligand PubChem SID","Approved","Type","Action","Action comment","Selectivity","Endogenous","Primary Target","concentration Range","Affinity Units","Affinity High","Affinity Median","Affinity Low","Original Affinity Units","Original Affinity Low nm","Original Affinity Median nm","Original Affinity High nm","Original Affinity Relation","Assay Description","Receptor Site","Ligand Context","PubMed ID"
"activin A receptor type 2A","1791",,"ACVR2A","P27037","ENSG00000121989",,"",,,,,"","Human","8086","bimagrumab","Antibody",,,,"249565766","false","Antibody","Binding","","Not Determined","false","false","","pKd","","9.359999656677246","","Kd","","0.4339999854564667","","=","Binding affinity of clone MOR08159","","",
"activin A receptor type 2B","1792",,"ACVR2B","Q13705","ENSG00000114739",,"",,,,,"","Human","8086","bimagrumab","Antibody",,,,"249565766","false","Antibody","Binding","","Selective","false","true","","pKd","","11.760000228881836","","Kd","","0.0017300000181421638","","=","Binding affinity of clone MOR08159","","",
"activin A receptor type IL","1784",,"ACVRL1","P37023","ENSG00000139567",,"",,,,,"","Human","8155","compound 13a [PMID: 23639540]","Synthetic organic",,,,"249565835","false","Inhibitor","Inhibition","","Non-selective","false","false","","pIC50","","7.380000114440918","","IC50","","42.099998474121094","","=","","","","23639540"
"activin A receptor type IL","1784",,"ACVRL1","P37023","ENSG00000139567",,"",,,,,"","Human","8120","compound 13d [PMID: 23639540]","Synthetic organic",,,,"249565800","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","8.300000190734863","","IC50","","5.0","","<","","","","23639540"
"activin A receptor type IL","1784",,"ACVRL1","P37023","ENSG00000139567",,"",,,,,"","Human","8144","compound 13r [PMID: 23639540]","Synthetic organic",,,,"249565824","false","Inhibitor","Inhibition","","Non-selective","false","true","","pIC50","","8.300000190734863","","IC50","","5.0","","<","","","","23639540"
"activin A receptor type IL","1784",,"ACVRL1","P37023","ENSG00000139567",,"",,,,,"","Human","8481","LDN-214117","Synthetic organic",,,,"252166689","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","7.570000171661377","","IC50","","27.0","","=","","","","25101911"
"activin A receptor type IL","1784",,"ACVRL1","P37023","ENSG00000139567",,"",,,,,"","Human","8121","ML347","Synthetic organic",,,,"249565801","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","7.340000152587891","","IC50","","46.0","","=","","","","23639540"
"activin A receptor type IL","1784",,"ACVRL1","P37023","ENSG00000139567",,"",,,,,"","Human","9916","panulisib","Synthetic organic",,,,"363894210","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","7.329999923706055","","IC50","","47.0","","=","Using a radiometric protein kinase (<sup>33</sup>PanQinase activity) assay.","","","25700704"
"activin A receptor type IL","1784",,"ACVRL1","P37023","ENSG00000139567",,"",,,,,"","Human","11888","zilurgisertib","Synthetic organic",,,,"461663444","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","6.489999771118164","","IC50","","323.0","","=","","","",
"Activin receptors","2588","1787|1790|1791|1792","ACVR1B|ACVR1C|ACVR2A|ACVR2B","P27037|P36896|Q13705|Q8NER5","ENSG00000114739|ENSG00000121989|ENSG00000123612|ENSG00000135503",,"",,,,,"","Human","4857","activin A","Peptide","5006","INHBA","Human","178101558","false","Agonist","Agonist","","Not Determined","true","false","","-","","","","-","","","","=","","","",
"Activin receptors","2588","1787|1790|1791|1792","ACVR1B|ACVR1C|ACVR2A|ACVR2B","P27037|P36896|Q13705|Q8NER5","ENSG00000114739|ENSG00000121989|ENSG00000123612|ENSG00000135503",,"",,,,,"","Human","4858","activin AB","Peptide","5006|5007","INHBA|INHBB","Human","178101559","false","Agonist","Agonist","","Not Determined","true","false","","-","","","","-","","","","=","","","",
"Activin receptors","2588","1787|1790|1791|1792","ACVR1B|ACVR1C|ACVR2A|ACVR2B","P27037|P36896|Q13705|Q8NER5","ENSG00000114739|ENSG00000121989|ENSG00000123612|ENSG00000135503",,"",,,,,"","Human","4859","activin B","Peptide","5007","INHBB","Human","178101560","false","Agonist","Agonist","","Not Determined","true","false","","-","","","","-","","","","=","","","",
"Activin receptors","2588","1787|1790|1791|1792","ACVR1B|ACVR1C|ACVR2A|ACVR2B","P27037|P36896|Q13705|Q8NER5","ENSG00000114739|ENSG00000121989|ENSG00000123612|ENSG00000135503",,"",,,,,"","Human","5010","inhibin A","Peptide","5005|5006","INHA|INHBA","Human","178101707","false","Agonist","Agonist","","Not Determined","true","false","","-","","","","-","","","","=","","","",
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","7739","alectinib","Synthetic organic",,,,"223366072","true","Inhibitor","Inhibition","","Not Determined","false","true","","pIC50","","8.720000267028809","","IC50","","1.899999976158142","","=","","","","22225917"
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","7706","AZD3463","Synthetic organic",,,,"223366039","false","Inhibitor","Inhibition","","Not Determined","false","true","","pIC50","","8.0","","IC50","","10.0","","<","","","",
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","10474","belizatinib","Synthetic organic",,,,"385612233","false","Inhibitor","Inhibition","","Not Determined","false","false","","pKd","","9.4399995803833","","Kd","","0.36000001430511475","","=","Binding affinity <i>in vitro</i>.","","","22734674"
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","7741","brigatinib","Synthetic organic",,,,"223366074","true","Inhibitor","Inhibition","","Not Determined","false","true","","pKi","","10.050000190734863","","Ki","","0.09000000357627869","","=","Wild type ALK","","","21502504"
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","7741","brigatinib","Synthetic organic",,,,"223366074","true","Inhibitor","Inhibition","","Not Determined","false","true","","pIC50","9.430000305175781","","9.210000038146973","IC50","0.6200000047683716","","0.3700000047683716","=","","","","21502504|27144831"
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","9698","CEP-37440","Synthetic organic",,,,"348353657","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","8.510000228881836","","IC50","","3.0999999046325684","","=","","","","27527804"
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","7397","ceritinib","Synthetic organic",,,,"178103969","true","Inhibitor","Inhibition","","Selective","false","true","","pIC50","","9.699999809265137","","IC50","","0.20000000298023224","","=","","","","23742252"
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","8220","compound 15 [PMID: 24900237]","Synthetic organic",,,,"249565900","false","Inhibitor","Inhibition","","Not Determined","false","true","","pIC50","","7.849999904632568","","IC50","","14.0","","=","","","","24900237"
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","11588","compound 17 [PMID: 34176264]","Synthetic organic",,,,"442878622","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","7.869999885559082","","IC50","","13.600000381469727","","=","Determined by TF-FRET","","","34176264"
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","8139","compound 25b [PMID: 22564207]","Synthetic organic",,,,"249565819","false","Inhibitor","Inhibition","","Not Determined","false","true","","pIC50","","8.720000267028809","","IC50","","1.899999976158142","","=","","","","22564207"
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","8207","compound 5g [PMID: 20483621]","Synthetic organic",,,,"249565887","false","Inhibitor","Inhibition","","Not Determined","false","true","","pIC50","","7.960000038146973","","IC50","","11.0","","=","","","","20483621"
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","8206","compound 5m [PMID: 20483621]","Synthetic organic",,,,"249565886","false","Inhibitor","Inhibition","","Not Determined","false","true","","pIC50","","8.0","","IC50","","10.0","","=","","","","20483621"
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","8208","compound 5n [PMID: 20483621]","Synthetic organic",,,,"249565888","false","Inhibitor","Inhibition","","Not Determined","false","true","","pIC50","","8.0","","IC50","","10.0","","=","","","","20483621"
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","8137","compound 8e [PMID: 24432909]","Synthetic organic",,,,"249565817","false","Inhibitor","Inhibition","","Not Determined","false","true","","pIC50","","9.100000381469727","","IC50","","0.800000011920929","","=","","","","24432909"
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","4903","crizotinib","Synthetic organic",,,,"178101602","true","Inhibitor","Inhibition","","Not Determined","false","true","","pIC50","","9.0","","IC50","","1.0","","=","","","","21812414"
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","13811","dirozalkib","Synthetic organic",,,,"","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","8.770000457763672","","IC50","","1.7000000476837158","","=","","","",
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","8959","ensartinib","Synthetic organic",,,,"310264740","true","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","9.399999618530273","","IC50","","0.4000000059604645","","<","Result from DiscoveRx KINOMEscan&reg; selectivity screen.","","","21613408"
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","11874","envonalkib","Synthetic organic",,,,"461663430","true","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","8.710000038146973","","IC50","","1.9600000381469727","","=","","","",
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","12378","ficonalkib","Synthetic organic",,,,"479821169","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","9.0","","IC50","","1.0","","<","Inhibition of WT hALK in vitro","","",
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","8708","gilteritinib","Synthetic organic",,,,"252827366","true","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","9.300000190734863","","IC50","","0.5","","~","","","","27908881"
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","5683","GSK-1838705A","Synthetic organic",,,,"178102310","false","Inhibitor","Inhibition","","Not Determined","false","true","","pIC50","","9.300000190734863","","IC50","","0.5","","=","","","","19825801"
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","11877","iruplinalkib","Synthetic organic",,,,"461663433","true","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","9.0","","7.0","IC50","100.0","","1.0","=","","","",
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","7476","lorlatinib","Synthetic organic",,,,"187051779","true","Inhibitor","Inhibition","","Not Determined","false","true","","pKi","","9.149999618530273","","Ki","","0.699999988079071","","=","Note that this is inhibition of the ALK L1196M mutant enzyme.","","","24819116"
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","13214","neladalkib","Synthetic organic",,,,"491299996","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","9.0","","IC50","","1.0","","~","inhibitor potency <i>vs.</i> ALK with mutations F1174L, F1174S, R1275Q, T1151M","","",
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","5714","NVP-TAE684","Synthetic organic",,,,"178102340","false","Inhibitor","Inhibition","","Not Determined","false","true","","pKd","","8.960000038146973","","Kd","","1.100000023841858","","=","","","","22037378"
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","10316","repotrectinib","Synthetic organic",,,,"381744997","true","Inhibitor","Inhibition","IC<sub>50</sub> for ALK<sup>G1202R</sup> is 1.2 nM.","Not Determined","false","false","","pIC50","","8.979999542236328","","IC50","","1.0399999618530273","","=","","","","30093503"
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","10529","TL13-112","Synthetic organic",,,,"387065611","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","9.220000267028809","","IC50","","0.6000000238418579","","=","Determined in a biochemical kinase activity assay.","","","29660984"
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","12092","unecritinib","Synthetic organic",,,,"472319214","true","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","7.0","","IC50","","100.0","","<","This is a binned IC50 va;lue from the referenced patent","","",
"ALK receptor tyrosine kinase","1839",,"ALK","Q9UM73","ENSG00000171094",,"",,,,,"","Human","12388","zotizalkib","Synthetic organic",,,,"479821179","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","8.850000381469727","","IC50","","1.399999976158142","","=","","","","34158340"
"Anti-M&uuml;llerian hormone receptors","2589","1786|1789|1785|1793","ACVR1|BMPR1A|BMPR1B|AMHR2","O00238|P36894|Q04771|Q16671","ENSG00000107779|ENSG00000115170|ENSG00000135409|ENSG00000138696",,"",,,,,"","Human","6686","M&uuml;llerian inhibiting substance","Peptide",,"AMH","Human","178103298","false","Agonist","Agonist","","Not Determined","true","false","","-","","","","-","","","","=","","","",
"AXL receptor tyrosine kinase","1835",,"AXL","P30530","ENSG00000167601",,"",,,,,"","Human","13579","A-910","Synthetic organic",,,,"504705398","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","8.09000015258789","","IC50","","8.199999809265137","","=","","","","39283694"
"AXL receptor tyrosine kinase","1835",,"AXL","P30530","ENSG00000167601",,"",,,,,"","Human","12375","adrixetinib","Synthetic organic",,,,"479821166","false","Inhibitor","Inhibition","","Not Determined","false","false","","pKd","","7.0","","Kd","","100.0","","<","","","",
"AXL receptor tyrosine kinase","1835",,"AXL","P30530","ENSG00000167601",,"",,,,,"","Human","10474","belizatinib","Synthetic organic",,,,"385612233","false","Inhibitor","Inhibition","","Not Determined","false","false","","pKd","","7.539999961853027","","Kd","","29.0","","=","Binding affinity <i>in vitro</i>.","","","22734674"
"AXL receptor tyrosine kinase","1835",,"AXL","P30530","ENSG00000167601",,"",,,,,"","Human","10478","bemcentinib","Synthetic organic",,,,"385612237","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","7.849999904632568","","IC50","","14.0","","=","","","","20145120"
"AXL receptor tyrosine kinase","1835",,"AXL","P30530","ENSG00000167601",,"",,,,,"","Human","7953","BMS-777607","Synthetic organic",,,,"249565636","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","8.960000038146973","","IC50","","1.100000023841858","","=","","","","19260711"
"AXL receptor tyrosine kinase","1835",,"AXL","P30530","ENSG00000167601",,"",,,,,"","Human","12865","canlitinib","Synthetic organic",,,,"485205986","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","9.619999885559082","","IC50","","0.23999999463558197","","=","","","",
"AXL receptor tyrosine kinase","1835",,"AXL","P30530","ENSG00000167601",,"",,,,,"","Human","10181","compound 19a [PMID: 30503936]","Synthetic organic",,,,"381118891","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","7.28000020980835","","IC50","","53.0","","=","","","","30503936"
"AXL receptor tyrosine kinase","1835",,"AXL","P30530","ENSG00000167601",,"",,,,,"","Human","10574","compound 1 [Cruz-L&oacute;pez <i>et al</i>., 2019]","Synthetic organic",,,,"404859021","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","4.889999866485596","","IC50","","13000.0","","=","","","","31867559"
"AXL receptor tyrosine kinase","1835",,"AXL","P30530","ENSG00000167601",,"",,,,,"","Human","12249","compound 6li [Chan <i>et al</i>., 2022]","Synthetic organic",,,,"473153837","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","8.800000190734863","","IC50","","1.600000023841858","","=","Inhibition of kinase activity","","",
"AXL receptor tyrosine kinase","1835",,"AXL","P30530","ENSG00000167601",,"",,,,,"","Human","12249","compound 6li [Chan <i>et al</i>., 2022]","Synthetic organic",,,,"473153837","false","Inhibitor","Inhibition","","Not Determined","false","false","","pKd","","9.59000015258789","","Kd","","0.25999999046325684","","=","Binding affinity for hAXL","","",
"AXL receptor tyrosine kinase","1835",,"AXL","P30530","ENSG00000167601",,"",,,,,"","Human","9905","compound 8i [PMID: 22765894]","Synthetic organic",,,,"363894199","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","8.34000015258789","","IC50","","4.599999904632568","","=","","","","21613405"
"AXL receptor tyrosine kinase","1835",,"AXL","P30530","ENSG00000167601",,"",,,,,"","Human","8863","dubermatinib","Synthetic organic",,,,"252827520","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","7.570000171661377","","IC50","","27.0","","=","","","","22247788"
"AXL receptor tyrosine kinase","1835",,"AXL","P30530","ENSG00000167601",,"",,,,,"","Human","8708","gilteritinib","Synthetic organic",,,,"252827366","true","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","9.100000381469727","","IC50","","0.800000011920929","","~","","","","27908881"
"AXL receptor tyrosine kinase","1835",,"AXL","P30530","ENSG00000167601",,"",,,,,"","Human","8247","LDC1267","Synthetic organic",,,,"249565927","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","7.539999961853027","","IC50","","29.0","","=","","","","24553136"
"AXL receptor tyrosine kinase","1835",,"AXL","P30530","ENSG00000167601",,"",,,,,"","Human","9841","merestinib","Synthetic organic",,,,"363894135","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","7.960000038146973","","IC50","","11.0","","=","Inhibition of <i>in vitro</i> biochemical activity by EMD Millipore assay.","","","23275061"
"AXL receptor tyrosine kinase","1835",,"AXL","P30530","ENSG00000167601",,"",,,,,"","Human","11624","ningetinib","Synthetic organic",,,,"442878658","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","7.960000038146973","","IC50","","11.0","","=","","","",
"AXL receptor tyrosine kinase","1835",,"AXL","P30530","ENSG00000167601",,"",,,,,"","Human","10155","RIPK1 inhibitor 22b","Synthetic organic",,,,"381118865","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","7.460000038146973","","IC50","","35.0","","=","","","","30480444"
"AXL receptor tyrosine kinase","1835",,"AXL","P30530","ENSG00000167601",,"",,,,,"","Human","9920","sitravatinib","Synthetic organic",,,,"363894214","false","Inhibitor","Inhibition","","Non-selective","false","false","","pIC50","","8.819999694824219","","IC50","","1.5","","=","In a biochemical enzyme activity assay.","","","26675259"
"AXL receptor tyrosine kinase","1835",,"AXL","P30530","ENSG00000167601",,"",,,,,"","Human","12320","SLC-391","Synthetic organic",,,,"479821111","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","6.300000190734863","","6.0","IC50","1000.0","","500.0","=","","","",
"AXL receptor tyrosine kinase","1835",,"AXL","P30530","ENSG00000167601",,"",,,,,"","Human","10131","UNC4203","Synthetic organic",,,,"381118841","false","Inhibitor","Inhibition","","Not Determined","false","false","","pKi","","7.400000095367432","","Ki","","40.220001220703125","","=","","","","30347155"
"AXL receptor tyrosine kinase","1835",,"AXL","P30530","ENSG00000167601",,"",,,,,"","Human","13302","UNC8969","Synthetic organic",,,,"496703272","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","8.279999732971191","","IC50","","5.300000190734863","","=","","","","38556760"
"AXL receptor tyrosine kinase","1835",,"AXL","P30530","ENSG00000167601",,"",,,,,"","Human","12093","zanzalintinib","Synthetic organic",,,,"472319215","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","8.0","","IC50","","10.0","","<","Inhibition of hAxl kinase (residues H473-A894 with Q764R) activity in vitro","","",
"AXL receptor tyrosine kinase","1835",,"AXL","P30530","ENSG00000167601",,"",,,,,"","Human","4935","growth arrest specific protein 6","Peptide",,"GAS6","Human","178101633","false","None","None",,"Non-selective","true","false",,"-","","","",,"","","",,,,,"8939948"
